254,3351
726,3557
1007,859
808,8553
895,4797
195,6494
580,5078
550,5023
238,1719
1225,986
780,0623
616,0437
1331,568
439,9131
1250,314
1167,48
618,7103
644,6338
745,7871
778,6593
821,6145
741,3758
550,0208
450,9397
292,0781
816,3549
625,6325
526,8248
168,8882
855,0492
600,256
644,3012
821,9545
736,3153
362,8069
558,6269
262,3086
575,9993
168,6947
474,8669
650,7453
1519,25
413,9542
732,2357
1182,964
488,8781
1051,297
894,1451
1211,021
441,7051
515,9784
526,0124
811,1179
351,9089
352,6932
849,3736
757,414
793,2781
1165,709
390,1546
602,9547
565,4763
271,7735
574,9268
685,2944
312,075
446,368
374,7783
649,4683
913,4666
257,8269
67,3363
194,1729
302,9058
789,6133
610,2407
1161,603
688,1312
636,5171
796,8335
534,306
232,5123
457,6369
947,8485
1103,401
549,0715
328,2258
928,2485
652,8868
972,5182
246,4352
1407,983
660,1286
691,1751
770,4937
977,1054
490,236
360,1402
185,8339
466,5431
404,3764
662,787
234,3863
309,0228
394,6144
600,9736
1024,65
517,9555
239,2501
630,6311
470,0366
571,3729
730,383
1165,438
476,9776
344,5732
537,6115
1069,234
871,3296
412,7246
577,3037
302,462
1522,907
996,8175
510,9067
807,0936
670,1305
546,4969
792,1953
969,8862
465,7103
189,9443
515,3804
452,0569
505,6084
713,4992
914,7779
178,2103
766,4021
685,4751
697,2413
798,5498
778,322
991,8349
393,0099
971,4786
496,4489
953,7265
561,5875
213,7894
495,3475
1210,292
200,6505
777,2928
561,8263
324,0311
282,949
457,7316
367,5167
173,7082
392,6504
184,2094
217,7841
750,87
259,0646
672,6291
521,3777
319,7324
475,1614
957,8941
175,2886
495,9126
704,8555
734,0333
1695,965
717,1669
1125,86
1025,041
438,501
1622,15
290,2471
632,751
522,4907
655,3331
34,9215
574,1078
549,9933
371,9558
1277,341
1499,767
130,2486
554,7835
764,2021
1106,912
323,3427
549,9829
654,7058
1062,87
647,5041
671,0131
