75.8451 1520.726 3876.861 2067.953 2765.563 35.8442 801.5536 688.7773 62.8715
6785.503 1864.509 949.8537 8591.936 362.9236 7177.35 5900.759 961.6491 1081.302
1639.869 1854.945 2162.526 1612.308 687.0575 389.5236 112.6215 2123.209 992.7089
607.4734 23.5454 2423.57 881.9474 1079.709 2165.085 1581.063 209.2653 718.2206
82.8382 783.8953 23.4685 451.53 1110.85 12522.99 305.0315 1556.164 6127.13 
490.6463 4373.603 2753.8 6551.522 367.1633 572.4186 604.8013 2084.523 191.802
193.0259 2377.891 1713.977 1956.191 5875.226 257.556 893.3233 743.6691 91.6675
779.733 1287.789 136.0794 378.3465 229.604 1104.633 2927.252 78.8583 1.7017
35.0768 124.965 1930.481 924.5134 5816.297 1303.078 1042.855 1981.346 632.4466
58.6964 406.2816 3253.17 5021.828 683.6745 157.1822 3064.636 1121.327 3500.976
69.3065 10077 1157.229 1319.616 1799.907 3548.364 494.5499 204.9004 30.9422 
429.2823 285.2975 1170.595 60.0582 132.3113 266.0572 884.9625 4064.277 578.7077
63.6881 1015.539 438.531 766.0396 1544.939 5871.317 457.2876 180.5985 643.6904
4590.199 2557.76 302.45 788.978 124.4427 12609.29 3756.744 556.4895 2055.112
1208.036 674.5548 1948.571 3473.969 427.0966 32.9381 570.5253 392.2872 540.1596
1445.077 2939.272 27.4520 1772.732 1288.759 1352.976 1993.561 1852.651 3703.34
262.9782 3490.294 512.6689 3311.145 729.1495 46.1786 509.4255 6540.271 38.5246
1845.658 730.0355 151.5107 102.8534 406.5217 217.1208 25.5167 262.2914 30.1757
48.6870 1672.006 79.9447 1220.948 589.6996 145.8382 452.3303 3352.652 26.1856
511.088 1395.62 1567.104 17149.21 1466.404 5319.434 4068.701 359.6051 15101.74
110.616 1025.322 593.3035 1133.372 0.2607 776.5634 686.9589 224.6981 7629.593
12069.57 11.2084 704.1923 1758.232 5067.617 150.5927 686.9221 1130.276 4512.584
1095.115 1212.586
