       1.4996       0.9925
       1.4013       1.8255
       2.6288       2.0544
      -1.6091      -5.1412
      -0.1797       2.1519
       1.1950      -1.5590
      -1.1197      -6.5517
       2.8152       3.4934
       0.6542      -1.3498
      -0.1438       0.2318
      -1.1817       0.1071
       5.3230       1.6674
       1.2594       5.1675
       1.8583       4.1765
      -2.1969      -4.5956
       2.7022       5.1575
       2.9297       2.4457
      -0.5851       4.2546
      -1.0024      -5.2605
      -2.0757      -2.3068
      -0.8631       1.6774
      -0.2001      -2.7510
       0.2296       4.3335
       1.9842      -0.7420
      -3.7664      -5.4645
       0.8690      -0.1377
       1.7529       3.2839
       1.5589      -0.7430
       3.7579       2.8423
       0.9565      -2.1106
       0.8435      -1.0430
       3.9915       3.4547
      -1.7682      -0.8894
      -1.1626       4.8660
       2.2654       1.7141
       0.6556       4.1100
       1.2588      -1.3727
       2.4383       1.6452
       2.5824       1.6132
       0.2545       2.0191
      -0.1219       1.0713
       4.2807       3.3414
      -1.6906      -0.7424
       1.1820       2.3063
      -2.0801      -5.1429
       1.2178       2.9992
       2.6596       2.3177
       2.8828       4.5118
      -1.1113       2.4660
       5.6058       2.2217
      -1.7798       2.4913
       2.9136       0.4130
       2.7824       1.1423
       4.8547       2.0322
      -0.0038      -3.0692
       4.5236       3.3069
       1.8468      -1.9628
       0.3993       1.5990
       6.3972       0.3302
       2.7077      -0.3921
       2.3436       5.7876
       1.3828       4.6617
       1.6172      -0.3521
       2.6486       2.6621
       1.0910       0.5439
       4.8538      -1.4387
      -0.6578       1.9861
      -0.5842      -0.5533
       1.3700       2.6737
       4.1670       0.4909
       2.1949       1.3660
       0.9102       1.4244
      -0.4171      -1.1001
      -3.1030      -2.1262
       0.2479       0.5787
       2.5441       4.8945
       4.1369       1.4126
       0.5992      -2.9768
       0.8906       0.7554
       4.9495       7.6432
       0.5079       0.8379
       3.3415       4.7202
       1.3092       3.5358
       3.1995       1.7758
       1.7489       3.3670
       2.6506      -1.0890
       2.6807       2.6001
