1.0649 1.1067 2.6315 .4953 .4975 2.8856 2.2946 2.5170 5.4353 .6088 1.4541
1.2790 .2954 1.3221 1.8784 .3895 .7969 .5618 1.6871 3.3375 .2658 0.0181 .1508
.3669 2.4938 1.4895 5.3971 1.8940 1.6205 2.5396 1.1418 .2162 .8377 3.5935
4.8698 1.2058 .4309 3.4464 1.7049 3.7830 .2429 7.9294 1.7430 1.9108 2.3745
3.8188 .9612 .5187 .1381 .8706 .6540 1.7570 .2197 .3819 .6228 1.4446 4.1995
1.0730 .2289 1.5907 .8837 1.3058 2.1337 5.4328 .91 .4749 1.1560 4.5729 3.03676
.6813 1.3330 .3659 9.2766 3.9744 1.044 2.6055 1.7962 1.1945 2.5102 3.7626 .8675
.1443 1.0624 .8173 1.0225 2.0362 3.3471 .1270 2.3494 1.8794 1.9445 2.5506
2.423 3.9348 .6178 3.7749 .9858 3.6382 1.2614 .1828 .9814 5.859 .161 2.4166
1.2625 .4199 .3202 .8380 .5402 .1206 .6166 .1357 .1897 2.255 .2684 1.8096
1.0873 .4089 .903 3.6701 .1229 .9836 1.9872 2.1551 11.5048 2.0572 5.07 4.2027
.7691 10.5251 .3369 1.6014 1.0919 1.7177 0.0048 1.3183 1.2099 .5533 6.5262
8.9969 0.0678 1.2311 2.3359 4.9008 .4181 1.2098 1.7145 4.5186 1.6769 1.8009
1.7190 4.2774 4.4017 0.0695 .6804 4.5382 2.0831 1.8713 .6491 .1081 .1281 6.6247
2.14 3.4356 .6734 6.4049 5.0017 1.5648 3.8487 .7165 0.0085 .4441 .9847 1.1391
2.0556 1.1007 1.6092 2.304 5.0158 2.916 .5788 2.0777 .2297 .4922 .1807 3.5157
2.804 6.5915 .1223 1.5399 9.4719 1.0368 1.4843 0.0513 .2782 1.1146 .9873 4.1867
1.3088 4.8724
