9.8133  10.8011  11.3435  10.9418  11.1058  9.5363  10.5891  10.547  9.7447
11.8849  10.891  10.6365  12.1849  10.3536  11.9518  11.7293  10.6402  10.6766
10.8329  10.8885  10.9649  10.8256  10.5463  10.3760  9.9559  10.9553  10.6498
10.5109  9.3782  11.0272  10.6152  10.6761  10.9655  10.8173  10.172  10.5588
9.8454  10.583  9.377  10.4221  10.6854  12.7794  10.2976  10.8106  11.7697
10.4474  11.4429  11.1032  11.8443  10.3573  10.4935  10.5096  10.9459  10.1423
10.1445  11.0164  10.8523  10.9141  11.7247  10.2419  10.6188  10.5685  9.882
10.5815  10.7367  10.023  10.3669  10.2034  10.6835  11.142  9.8275  8.3697
9.5282  9.9929  10.9076  10.6286  11.7141  10.741  10.665  10.9203  10.5226
9.7194  10.3893  11.2131  11.5676  10.5449  10.0735  11.1722  10.6885  11.2657
9.7804  12.4175  10.699  10.7457  10.8745  11.2757  10.4499  10.1649  9.4811
10.4064  10.2757  10.703  9.7279  10.0131  10.2527  10.6162  11.3814  10.4967
9.7494  10.6567  10.413  10.5767  10.8076  11.724  10.426  10.1216  10.5277
11.4851  11.0584  10.2948  10.5848  9.9914  12.7917  11.3189  10.4852  10.9386
10.7138  10.5411  10.9122  11.26  10.4049  9.5046  10.4926  10.3783  10.4764
10.7805  11.1446  9.4361  10.8675  10.7369  10.755  10.9234  10.8879  11.3079
10.2488  11.2635  10.4607  11.2255  10.563  9.6307  10.4588  11.8424  9.5632
10.8862  10.5633  10.0607  9.9234  10.3895  10.1845  9.4086  10.2479  9.4717
9.6503  10.8413  9.8325  10.7176  10.5023  10.0473  10.4226  11.2344  9.4183
10.4598  10.7669  10.8135  13.4107  10.7863  11.6232  11.3823  10.3507  13.1385
9.9495  10.6597  10.504  10.692  7.642  10.5804  10.5462  10.1961  12.0277
12.714  9.0959  10.5532  10.8637  11.5762  10.0585  10.5462  10.6911  11.4701
10.6807  10.7151
