29.6511 34.3431 35.5430 34.5840 30.4315 20.9413 40.4359 34.1622 38.2848 42.7450
37.1119 37.8648 37.8075 36.332 30.7895 25.0401 30.1856 34.9377 38.3276 23.8018
35.3587 44.1605 37.8963 36.2875 26.7922 32.1738 28.6481 32.8239 30.9496 32.3683
33.1123 33.7724 27.8679 36.8587 35.3637 32.3538 33.8559 33.6532 34.4826 32.4128
25.6489 26.6736 35.8709 29.5234 30.0163 35.8128 36.8992 37.6132 33.7223 32.6046
39.8624 21.6679 28.4784 32.7967 34.5837 28.3097 29.8878 28.3665 34.1721 38.2285
40.3166 33.8656 35.5927 33.6717 34.7435 39.9126 32.3998 29.3291 31.1217 36.9774
36.4289 32.6075 31.0980 34.9972 33.9589 37.5462 38.1966 40.3385 34.8086 36.264
30.6865 27.6938 30.7433 32.2340 26.5390 35.473 26.0196 33.4317 36.9525 32.1124
29.1419 33.4783 24.1727 31.7315 33.7704 35.1439 30.7308 28.1284 32.4377 36.6720
36.7950 30.1457 32.7936 27.9051 30.4542 39.2263 41.7720 28.2388 34.8893 36.0552
32.2021 30.6807 29.2567 25.9931 28.1610 39.7308 39.2904 36.5968 36.1992 38.7972
34.7116 36.0481 31.1360 35.7734 31.5437 37.4383 32.7294 29.5327 32.4405 35.2272
31.1464 33.8828 32.4389 27.5391 29.2813 31.3343 32.5725 32.2087 30.5106 34.0710
29.0634 34.0029 31.6995 27.9176 31.3412 37.1322 30.5988 32.3920 37.7569 38.8499
28.2489 33.7023 25.9122 39.8280 32.4768 32.9818 31.8713 26.6756 30.9629 32.8238
34.0223 35.2380 27.6155 32.2025 33.6990 36.6542 38.6709 40.8497 33.7848 36.9138
31.7714 35.3025 39.4840 37.7464 32.9301 32.8597 35.0430 37.1711 36.3194 33.3391
36.1814 31.2126 24.9893 28.261 40.4821 28.9621 35.1598 40.5358 33.5541 33.3539
27.8847 36.0061 31.7698 32.1144 30.2059 33.2344 33.0906 31.2002 28.8324 32.1808
