9,4672
554,1084
84,8444
11,4199
194,7251
618,4997
247,3301
122,3068
69,2435
11,0748
265,7492
477,7485
1002,4107
615,5677
42,8002
7,0761
136,6214
0,5478
207,3099
11,4319
84,0186
470,0252
34,0160
117,4455
6,7585
52,5283
22,6102
313,1932
245,9998
363,0436
37,2059
0,0192
0,2894
192,5487
39,4799
180,2775
185,9249
497,2218
314,9191
356,1158
236,8241
31,6060
43,9752
197,9971
150,5832
4,6228
191,7621
496,8482
94,1697
16,7478
423,3691
522,3276
225,7093
1163,2456
258,0734
391,8050
46,7397
100,5897
114,3101
401,4677
791,3628
143,7840
264,4240
85,9915
517,8700
48,2528
62,5134
134,6092
62,8141
26,3008
