21,5447   134,3021   9,8344
18,1367   130,5072   11,9705
13,3060   132,6800   12,2097
-2,4954   131,8808   8,2932
20,9216   133,8112   15,9659
21,0446   130,5689   3,9646
18,7145   133,4958   16,6057
12,7123   133,1185   17,1192
6,6847   133,9148   7,2946
25,3357   131,2624   16,1050
20,2879   130,8423   11,2306
23,2450   134,2603   13,4711
19,5788   131,7442   12,7699
30,6171   131,3767   10,1711
21,0206   133,0821   12,0667
17,4616   132,9582   9,1350
16,7285   133,5023   8,6058
26,6747   130,3926   20,0313
22,2236   133,6979   17,6719
25,1623   130,7639   15,3873
16,4927   131,3950   17,5567
12,3042   130,3247   15,5408
20,5736   131,4380   12,3812
31,4771   133,5474   18,6445
12,8091   134,1606   5,0517
26,1074   130,5563   11,4138
25,5319   130,4288   13,4205
25,8020   131,7443   20,0347
1,8696   131,7446   16,3879
22,7006   133,4014   6,8021
17,1675   133,9245   10,2155
21,8725   130,9170   16,0831
21,1359   134,3795   15,6768
6,3805   131,6162   25,6210
12,3600   132,3631   19,8632
17,0523   134,8795   5,6058
27,5183   132,4362   20,8149
32,4217   131,6724   13,9044
20,1889   134,2569   14,5404
19,6151   131,1574   22,3782
36,7238   131,5943   19,7075
11,6066   134,9336   17,9170
35,6862   131,0570   7,9213
22,0340   133,3261   14,5130
19,2448   131,7702   16,6891
17,1621   134,9311   13,2621
9,4256   133,9146   17,9246
9,0316   133,3664   9,7438
22,9190   132,7398   14,8399
27,4782   133,6533   21,1080
30,8249   132,0679   17,8609
12,8887   132,6970   15,4383
31,8053   131,4879   19,4108
14,3431   134,2313   20,7374
16,8854   130,9553   13,8396
11,6259   131,1806   16,0962
14,2923   134,4261   13,2630
21,2001   132,9643   8,4338
26,8716   132,0338   11,1691
20,0067   134,6502   15,9524
22,7898   132,2127   10,2812
8,2610   134,3592   18,4844
20,2115   132,6599   15,8349
23,5186   132,7533   7,6601
24,1333   131,1603   13,5081
8,5553   136,02   17,8758
20,4021   134,1032   13,0857
36,4779   130,6439   14,8655
29,4690   130,1601   14,2572
