9,8344
9,8344
11,9705
12,2097
8,2932
15,9659
3,9646
16,6057
17,1192
7,2946
16,1050
11,2306
13,4711
12,7699
10,1711
12,0667
9,1350
8,6058
20,0313
17,6719
15,3873
17,5567
15,5408
12,3812
18,6445
5,0517
11,4138
13,4205
20,0347
16,3879
6,8021
10,2155
16,0831
15,6768
25,6210
19,8632
5,6058
20,8149
13,9044
14,5404
22,3782
19,7075
17,9170
7,9213
14,5130
16,6891
13,2621
17,9246
9,7438
14,8399
21,1080
17,8609
15,4383
19,4108
20,7374
13,8396
16,0962
13,2630
8,4338
11,1691
15,9524
10,2812
18,4844
15,8349
7,6601
13,5081
17,8758
13,0857
14,8655
14,2572
12,3899
