21,5447
18,1367
13,3060
-2,4954
20,9216
21,0446
18,7145
12,7123
6,6847
25,3357
20,2879
23,2450
19,5788
30,6171
21,0206
17,4616
16,7285
26,6747
22,2236
25,1623
16,4927
12,3042
20,5736
31,4771
12,8091
26,1074
25,5319
25,8020
1,8696
22,7006
17,1675
21,8725
21,1359
6,3805
12,3600
17,0523
27,5183
32,4217
20,1889
19,6151
36,7238
11,6066
35,6862
22,0340
19,2448
17,1621
9,4256
9,0316
22,9190
27,4782
30,8249
12,8887
31,8053
14,3431
16,8854
11,6259
14,2923
21,2001
26,8716
20,0067
22,7898
8,2610
20,2115
23,5186
24,1333
8,5553
20,4021
36,4779
29,4690
